site,date,dayl,srad,tmax,tmin,temp,prcp,swe,vp
HARV,2001-02-08,36116.7,219.82,0.91,-9.83,-4.005,5.72,120.77,289.71
HARV,2001-02-09,36265.97,265.22,7.09,-7.81,3.185,8.48,129.26,339.61
HARV,2001-02-10,36416.79,323.41,5.53,-6.5,2.28,0,129.26,375.6
HARV,2001-02-11,36569.11,301.23,-4.69,-15.02,-12.2,0,129.26,190.35
HARV,2001-02-12,36722.87,391.38,-1.48,-18.03,-10.495,0,129.26,147.93
HARV,2001-02-13,36878.03,408.43,5.69,-13.42,-1.0199999999999996,0,129.26,217.16
HARV,2001-02-14,37034.53,268.3,2,-11.42,-3.71,9.64,138.9,255.23
HARV,2001-02-15,37192.31,355.15,2.62,-10.26,-2.51,0,138.9,279.99
HARV,2001-02-16,37351.33,267.06,0.79,-12.02,-5.22,6.16,145.06,243.32
HARV,2001-02-17,37511.54,339.81,-0.65,-12.18,-6.74,0,145.06,240.09
HARV,2001-02-18,37672.9,367.93,-4.68,-17.48,-13.42,0,145.06,154.9
HARV,2001-02-19,37835.35,426.96,1.16,-16.79,-7.234999999999999,0,145.06,164.27
HARV,2001-02-20,37998.85,430.96,9.35,-9.65,4.5249999999999995,0,145.06,293.95
HARV,2001-02-21,38163.35,198.91,1.06,-4.92,-1.4,0,144.61,423.66
HARV,2001-02-22,38328.81,281.33,-7.59,-20,-17.59,4.86,149.46,124.87
HARV,2001-02-23,38495.19,410.53,-0.81,-15.1,-8.36,0,149.46,189.16
HARV,2001-02-24,38662.45,243.16,-3.18,-9.97,-8.165000000000001,0,149.46,286.47
HARV,2001-02-25,38830.54,266.29,2.17,-8.48,-2.0700000000000003,12.05,161.51,322.19
HARV,2001-02-26,38999.42,360.24,4,-6.74,0.6299999999999999,0,161.51,368.68
HARV,2001-02-27,39169.06,365.6,2.26,-8.52,-2,0,161.51,321.11
HARV,2001-02-28,39339.42,303.53,-4.94,-12.99,-11.435,0,161.51,224.93
HARV,2001-03-01,39510.45,394.82,-4.75,-15.88,-12.69,0,161.51,177.29
HARV,2001-03-02,39682.13,269.35,-4.67,-14.3,-11.82,2.22,163.73,202.02
HARV,2001-03-03,39854.41,218.01,-0.9,-8.25,-5.025,3.6,167.33,328.19
HARV,2001-03-04,40027.26,226.69,-1.44,-8.99,-5.9350000000000005,5.5,172.83,309.59
HARV,2001-03-05,40200.65,230.17,-2.62,-9.92,-7.58,44.06,216.89,287.68
HARV,2001-03-06,40374.55,159.85,-0.68,-5.43,-3.395,11.57,216.65,407.76
HARV,2001-03-07,40548.91,381.51,1.93,-7.17,-1.655,0,216.65,356.82
HARV,2001-03-08,40723.71,471.77,3.7,-8.92,-0.7599999999999998,0,216.65,311.24
HARV,2001-03-09,40898.91,202.12,0.86,-5.12,-1.7000000000000002,7.32,216.28,417.57
HARV,2001-03-10,41074.49,232.98,2.54,-4.36,0.3599999999999999,5.78,215.59,442.02
HARV,2001-03-11,41250.42,489.13,4.29,-8.43,0.07500000000000018,0,215.59,323.55
HARV,2001-03-12,41426.65,379.95,4.55,-8.79,0.15500000000000025,14.94,230.53,314.44
HARV,2001-03-13,41603.17,211.15,0.03,-5.79,-2.865,11.81,230.45,396.54
HARV,2001-03-14,41779.94,362.14,3.71,-3.85,1.785,0,229.55,459.29
HARV,2001-03-15,41956.94,432.29,7.77,-1.57,6.984999999999999,0,227.69,544.24
HARV,2001-03-16,42134.13,522.72,7.42,-5.21,4.8149999999999995,0,227.36,414.48
HARV,2001-03-17,42311.49,520.26,7.7,-4.62,5.390000000000001,0,226.78,433.41
HARV,2001-03-18,42488.98,431.23,6.01,-2.82,4.6,0,225.44,496.21
HARV,2001-03-19,42666.59,538.33,9.16,-3.74,7.29,0,224.49,463.44
HARV,2001-03-20,42844.28,608.47,11.69,-7.57,7.904999999999999,0,224.49,345.75
HARV,2001-03-21,43022.03,401.93,4.83,-6.95,1.355,27.8,252.29,362.86
HARV,2001-03-22,43199.81,214.29,2.89,-2.04,1.87,21.21,250.63,525.76
HARV,2001-03-23,43377.58,267.6,3.74,-0.81,3.335,0,248.45,575.8
HARV,2001-03-24,43555.33,401.61,5.1,-1.96,4.119999999999999,0,246.75,528.79
HARV,2001-03-25,43733.02,473.91,2.58,-5.9,-0.3700000000000001,0,246.71,393.33
HARV,2001-03-26,43910.63,429.77,0.52,-11.17,-5.0649999999999995,3.18,249.89,260.48
HARV,2001-03-27,44088.13,590.14,-0.3,-12.52,-6.56,0,249.89,233.73
HARV,2001-03-28,44265.48,592.51,4.07,-8.38,-0.1200000000000001,0,249.89,324.78
HARV,2001-03-29,44442.68,484.79,6.03,-9.91,1.0750000000000002,13.36,263.25,288.06
HARV,2001-03-30,44619.67,259.78,0.5,-5.13,-2.065,31.16,262.89,417.22
HARV,2001-03-31,44796.44,298.38,2.75,-1.94,1.78,0,261.18,529.79
HARV,2001-04-01,44972.96,235.14,1.65,-1.88,0.71,0,259.45,532.11
HARV,2001-04-02,45149.2,470.69,4.93,-2.89,3.484999999999999,0,258.15,493.49
HARV,2001-04-03,45325.12,620.54,6.71,-5.95,3.735,0,258.12,391.89
HARV,2001-04-04,45500.7,656.67,10.2,-5.15,7.624999999999999,0,257.77,416.45
HARV,2001-04-05,45675.91,678.61,12.11,-5.95,9.135,0,257.75,391.76
HARV,2001-04-06,45850.71,494.55,11.33,-4.85,8.905000000000001,10.9,257.26,426.19
HARV,2001-04-07,46025.07,367.9,8.05,-0.81,7.645,14.8,255.08,575.71
HARV,2001-04-08,46198.97,184.85,2.72,-1.19,2.125,10.31,253.06,559.79
HARV,2001-04-09,46372.36,500.49,18.11,0.35,18.285,8.17,250.4,626.2
HARV,2001-04-10,46545.21,629.93,14.16,-0.02,14.15,0,247.89,609.59
HARV,2001-04-11,46717.5,474.47,11.88,-2.2,10.78,5.02,246.29,519.53
HARV,2001-04-12,46889.17,223.94,4.48,-0.46,4.25,7.14,243.97,590.54
HARV,2001-04-13,47060.21,636.41,15.69,1,16.189999999999998,0,241.03,656.66
HARV,2001-04-14,47230.57,604.55,12.65,-0.24,12.53,0,238.61,600.27
HARV,2001-04-15,47400.21,667.86,14.59,-1.99,13.595,0,236.92,527.86
HARV,2001-04-16,47569.09,625.07,11.86,-1.87,10.925,0,235.19,532.32
HARV,2001-04-17,47737.19,587.48,10.87,-1.31,10.215,0,233.22,555.1
HARV,2001-04-18,47904.44,524.67,8.05,-1.9,7.1000000000000005,0,231.49,531.39
HARV,2001-04-19,48070.83,616.86,9.11,-3.63,7.295,0,230.5,467.03
HARV,2001-04-20,48236.29,716.52,17.45,-4.31,15.295,0,229.79,443.76
HARV,2001-04-21,48400.8,688.28,18.85,-0.12,18.790000000000003,0,227.32,605.19
HARV,2001-04-22,48564.3,669.87,27.19,6.93,30.655,0,221.89,996.47
HARV,2001-04-23,48726.75,692.46,25.24,2.79,26.635,0,218.2,746.42
HARV,2001-04-24,48888.11,681.19,28.65,5.74,31.52,0,213.27,918.02
HARV,2001-04-25,49048.32,487.47,13.1,2.5,14.35,0,209.7,731.19
HARV,2001-04-26,49207.34,667.16,16.27,-2.27,15.135,0,208.13,516.95
HARV,2001-04-27,49365.13,696,19.54,-2.38,18.35,0,206.61,512.76
HARV,2001-04-28,49521.63,519.06,12.07,0.4,12.27,0,203.92,628.74
HARV,2001-04-29,49676.79,671.63,16.86,-2.58,15.57,0,202.49,505.21
HARV,2001-04-30,49830.55,704.6,23.52,-1.29,22.875,0,200.51,555.89
HARV,2001-05-01,49982.88,697.67,29.57,2.76,30.95,0,196.83,744.54
HARV,2001-05-02,50133.7,660.95,31.27,7.31,34.925,0,191.24,1023.13
HARV,2001-05-03,50282.97,610.04,30.22,10.02,35.23,0,184.51,1228.9
HARV,2001-05-04,50430.64,578.42,29.84,11.33,35.505,0,177.23,1341
HARV,2001-05-05,50576.63,475.27,18.97,6.32,22.13,0,172.05,955.79
HARV,2001-05-06,50720.91,531.63,15.45,1.15,16.025,0,169.05,663.5
HARV,2001-05-07,50863.4,679.14,20.24,-3.45,18.514999999999997,0,167.98,473.42
HARV,2001-05-08,51004.06,680.32,23,-2,22,0,166.3,527.48
HARV,2001-05-09,51142.81,661.75,26,1.89,26.945,0,162.99,698.43
HARV,2001-05-10,51279.61,637.05,26.09,3.67,27.925,0,158.93,794.17
HARV,2001-05-11,51414.38,603.29,27.13,6.5,30.38,0,153.68,966.7
HARV,2001-05-12,51547.07,547.4,28.54,10.25,33.665,0,146.85,1247.93
HARV,2001-05-13,51677.61,514.29,20.7,4.93,23.165,0,142.27,867.54
HARV,2001-05-14,51805.94,541.23,18.64,1.82,19.55,0,138.98,696.37
HARV,2001-05-15,51932,379.19,14.08,3.53,15.845,1.08,134.98,786.46
HARV,2001-05-16,52055.73,152.2,9.79,6.07,12.825,0,129.91,939.24
HARV,2001-05-17,52177.06,383.39,16.86,6.13,19.925,0,124.82,943.09
HARV,2001-05-18,52295.92,215.47,13.07,7.39,16.765,0,119.19,1028.22
HARV,2001-05-19,52412.25,414.53,21.84,9.72,26.7,0,112.59,1204.78
HARV,2001-05-20,52526,510.65,21.72,6.15,24.795,0,107.49,944.25
HARV,2001-05-21,52637.09,368.56,20.29,5.66,23.119999999999997,3.22,102.59,912.71
HARV,2001-05-22,52745.46,119.84,11.03,7.15,14.605,9.26,97.07,1011.88
HARV,2001-05-23,52851.05,208.98,14.21,7.06,17.740000000000002,8.48,91.58,1005.87
HARV,2001-05-24,52953.79,229.38,15.39,7.63,19.205,5.89,85.86,1045.41
HARV,2001-05-25,53053.62,460.93,19.5,6.78,22.89,0,80.49,986.61
HARV,2001-05-26,53150.49,346.86,20.3,7.51,24.055,9.16,74.81,1036.96
HARV,2001-05-27,53244.32,118.3,14.63,10.97,20.115,2.9,67.69,1309.7
HARV,2001-05-28,53335.07,287.76,21.12,11.04,26.64,14.84,60.53,1315.49
HARV,2001-05-29,53422.67,447.72,18.81,7.07,22.345,0.68,55.04,1006.11
HARV,2001-05-30,53507.05,314.12,13.03,2.83,14.445,4.69,51.33,748.61
HARV,2001-05-31,53588.18,557.28,16.6,1.47,17.335,0,48.19,679.35
HARV,2001-06-01,53665.99,474.83,21.72,0.97,22.205,14.9,45.27,654.95
HARV,2001-06-02,53740.42,257.82,16.04,8.14,20.11,35.59,39.33,1082.23
HARV,2001-06-03,53811.43,269.41,18.66,10.35,23.835,13.49,32.46,1256.18
HARV,2001-06-04,53878.96,436.2,17.28,6.97,20.765,0,27.02,999.33
HARV,2001-06-05,53942.97,509.91,21.39,8.16,25.47,0,21.07,1084.12
HARV,2001-06-06,54003.41,534.8,24.03,9.52,28.79,0,14.55,1188.37
HARV,2001-06-07,54060.24,598.24,24.17,6.03,27.185,0,9.5,936.7
HARV,2001-06-08,54113.41,595.93,25.07,6.9,28.52,0,4.08,994.53
HARV,2001-06-09,54162.88,533.11,25.26,7.39,28.955,0,0,1028.34
HARV,2001-06-10,54208.62,548.92,26.86,7.01,30.365,0,0,1002.42
HARV,2001-06-11,54250.59,330.74,20.99,9.2,25.589999999999996,23.84,0,1163.27
HARV,2001-06-12,54288.76,415.1,22.71,11.84,28.630000000000003,0,0,1387.45
HARV,2001-06-13,54323.09,524.95,29.03,11.14,34.6,0,0,1324.19
HARV,2001-06-14,54353.57,517.57,31.42,13.09,37.965,0,0,1506
HARV,2001-06-15,54380.18,479.64,31.1,15.19,38.695,0,0,1725.87
HARV,2001-06-16,54402.87,381.87,28.74,17.75,37.614999999999995,0,0,2030.23
HARV,2001-06-17,54421.65,230.82,24.98,16.76,33.36,45.98,0,1908.03
HARV,2001-06-18,54436.5,455,27.08,13.27,33.714999999999996,0,0,1523.21
HARV,2001-06-19,54447.39,507.42,29.51,12.05,35.535000000000004,0,0,1406.03
HARV,2001-06-20,54454.33,369.04,30.03,13.38,36.72,9.32,0,1534.35
HARV,2001-06-21,54457.32,255.7,18.31,11.88,24.25,0,0,1391.06
HARV,2001-06-22,54456.33,316.65,24.01,11.78,29.9,2.32,0,1381.72
HARV,2001-06-23,54451.39,282.78,24.95,14.21,32.055,16.64,0,1620.01
HARV,2001-06-24,54442.49,307.37,24.5,16.12,32.56,0,0,1831.82
HARV,2001-06-25,54429.63,478.35,27.37,11.93,33.335,0,0,1395.07
HARV,2001-06-26,54412.84,491.86,30.64,13.18,37.23,0,0,1515.09
HARV,2001-06-27,54392.11,455.52,29.41,14.23,36.525,0,0,1621.92
HARV,2001-06-28,54367.48,410.56,27.29,14.54,34.56,0,0,1655.01
HARV,2001-06-29,54338.95,435.52,26.1,12.37,32.285000000000004,0,0,1436.16
HARV,2001-06-30,54306.56,336.23,29.23,14.31,36.385,8.22,0,1630.12
HARV,2001-07-01,54270.31,297.9,27.4,15.27,35.035,29.31,0,1734.44
HARV,2001-07-02,54230.26,409.77,19.71,7.93,23.675,0,0,1067.39
HARV,2001-07-03,54186.42,503.24,21.73,4.98,24.22,0,0,870.73
HARV,2001-07-04,54138.82,347.21,23.87,8.9,28.32,4.38,0,1139.84
HARV,2001-07-05,54087.51,258.16,25.47,15.2,33.07,22.39,0,1726.33
HARV,2001-07-06,54032.53,387.86,20.65,9.41,25.354999999999997,0,0,1179.84
HARV,2001-07-07,53973.91,366.82,23.38,7.26,27.01,2.17,0,1019.37
HARV,2001-07-08,53911.69,92.09,17.38,14.41,24.585,3.26,0,1640.83
HARV,2001-07-09,53845.93,425.78,28.95,15.6,36.75,0,0,1771.24
HARV,2001-07-10,53776.67,353.25,28.69,13.24,35.31,9.64,0,1520.4
HARV,2001-07-11,53703.95,309.01,23.12,11.29,28.765,5.73,0,1337.37
HARV,2001-07-12,53627.84,277.1,20.8,10.74,26.17,4.99,0,1289.34
HARV,2001-07-13,53548.38,423.54,20.62,8.79,25.015,0,0,1131.39
HARV,2001-07-14,53465.63,477.57,23.27,8.78,27.66,0,0,1130.44
HARV,2001-07-15,53379.65,459.43,23.84,10.2,28.94,0,0,1244.27
HARV,2001-07-16,53290.48,367.84,26.04,10.15,31.115,7.81,0,1239.36
HARV,2001-07-17,53198.2,229.85,20.07,12.1,26.12,5.48,0,1411.5
HARV,2001-07-18,53102.85,461.93,25.65,11.4,31.35,0,0,1347.33
HARV,2001-07-19,53004.51,421.51,23.39,11.41,29.095,0,0,1348.57
HARV,2001-07-20,52903.23,528.61,27.87,8.65,32.195,0,0,1120.4
HARV,2001-07-21,52799.07,506.42,29.07,10.97,34.555,0,0,1309.17
HARV,2001-07-22,52692.09,464.78,28.6,13.19,35.195,0,0,1515.8
HARV,2001-07-23,52582.36,491.88,30.11,12.4,36.31,0,0,1438.91
HARV,2001-07-24,52469.95,464.08,31.79,15.15,39.365,0,0,1720.91
HARV,2001-07-25,52354.92,283.24,31.57,19.22,41.18,4.19,0,2226.86
HARV,2001-07-26,52237.32,198.32,21.51,14.32,28.67,15.42,0,1631.46
HARV,2001-07-27,52117.23,464.62,20.65,6.43,23.865,0,0,962.75
HARV,2001-07-28,51994.7,477.23,23.15,7.77,27.034999999999997,0,0,1055.83
HARV,2001-07-29,51869.81,491.95,25.35,8.53,29.615,0,0,1111.52
HARV,2001-07-30,51742.62,463.47,24.91,9.83,29.825,0,0,1213.62
HARV,2001-07-31,51613.18,530.1,28.13,6.95,31.605,0.71,0,997.76
HARV,2001-08-01,51481.57,507.72,29.5,9.75,34.375,0,0,1206.8
HARV,2001-08-02,51347.84,490.3,31.22,12.24,37.34,0,0,1423.72
HARV,2001-08-03,51212.06,308.73,29.05,15.16,36.63,24.76,0,1722.48
HARV,2001-08-04,51074.28,197.06,25.42,17.53,34.185,7.42,0,2002.49
HARV,2001-08-05,50934.58,367.46,29.16,17.15,37.735,0,0,1955.33
HARV,2001-08-06,50793.01,415.56,31.36,16.8,39.76,0,0,1912.67
HARV,2001-08-07,50649.62,375.77,32.26,19.07,41.795,0,0,2206.59
HARV,2001-08-08,50504.49,380.35,32.95,19.37,42.635000000000005,0,0,2247.96
HARV,2001-08-09,50357.66,391.01,33.21,19.07,42.745000000000005,0,0,2206.43
HARV,2001-08-10,50209.19,242.98,29.02,18.39,38.215,3.52,0,2114.65
HARV,2001-08-11,50059.14,286.41,26.71,14.06,33.74,5.87,0,1603.47
HARV,2001-08-12,49907.57,186.15,22.79,15.34,30.46,8.65,0,1742.46
HARV,2001-08-13,49754.52,263.52,26.95,15.58,34.74,10.7,0,1769.67
HARV,2001-08-14,49600.06,378.3,25.66,13.41,32.365,0,0,1537.79
HARV,2001-08-15,49444.23,446.87,26.36,10.62,31.67,0,0,1279.56
HARV,2001-08-16,49287.09,440.9,26.95,11.15,32.525,0,0,1325.33
HARV,2001-08-17,49128.68,310.17,24.4,14.69,31.744999999999997,0,0,1670.49
HARV,2001-08-18,48969.06,330.01,25.95,15.35,33.625,0,0,1743.42
HARV,2001-08-19,48808.27,430.91,28.39,12.91,34.845,0,0,1488.5
HARV,2001-08-20,48646.37,185.8,22.98,15.61,30.785,3.7,0,1772.52
HARV,2001-08-21,48483.39,327.01,27.42,17.03,35.935,0,0,1939.94
HARV,2001-08-22,48319.39,433.05,28.52,13.15,35.095,0,0,1511.42
HARV,2001-08-23,48154.4,433.28,26.64,11.59,32.435,0,0,1364.38
HARV,2001-08-24,47988.47,432.8,26.51,11.35,32.185,0,0,1342.54
HARV,2001-08-25,47821.65,429.16,24.07,9.23,28.685,0,0,1165.58
HARV,2001-08-26,47653.98,374.78,24.67,12.38,30.860000000000003,0,0,1437.53
HARV,2001-08-27,47485.49,341.33,26.21,15.13,33.775,0,0,1718.72
HARV,2001-08-28,47316.22,374.89,28.07,15.32,35.730000000000004,0,0,1739.93
HARV,2001-08-29,47146.22,396.67,25.18,11.84,31.1,0,0,1387.49
HARV,2001-08-30,46975.52,467.8,26.16,8.1,30.21,0,0,1079.25
HARV,2001-08-31,46804.16,323.2,27.02,11.38,32.71,16.51,0,1345.44
HARV,2001-09-01,46632.18,351.8,21.6,10.84,27.020000000000003,0,0,1298.55
HARV,2001-09-02,46459.61,428.17,20.19,5.95,23.165000000000003,0,0,931.41
HARV,2001-09-03,46286.49,440.66,22.91,7.1,26.46,0,0,1008.34
HARV,2001-09-04,46112.84,288.29,22.06,9.36,26.74,8.05,0,1175.65
HARV,2001-09-05,45938.71,379.56,20.43,8.16,24.51,0,0,1084.23
HARV,2001-09-06,45764.13,476.98,23.57,3.67,25.405,0,0,794.04
HARV,2001-09-07,45589.12,475.26,27.09,5.79,29.985,0,0,921.25
HARV,2001-09-08,45413.72,415.41,27.29,11.14,32.86,0,0,1324.5
HARV,2001-09-09,45237.97,338.76,26.99,14.93,34.455,0,0,1696.91
HARV,2001-09-10,45061.89,215.65,26.86,16.91,35.315,12.7,0,1925.71
HARV,2001-09-11,44885.51,376.83,23,9.37,27.685,0,0,1176.43
HARV,2001-09-12,44708.86,430.84,23.69,6.09,26.735,0,0,940.65
HARV,2001-09-13,44531.98,326.97,25.99,6.84,29.409999999999997,7.72,0,990.24
HARV,2001-09-14,44354.88,209.45,14.34,5.27,16.975,9.11,0,888.48
HARV,2001-09-15,44177.6,390.21,17,2.68,18.34,0,0,740.63
HARV,2001-09-16,44000.17,429.43,20.51,2.49,21.755000000000003,0,0,730.37
HARV,2001-09-17,43822.61,434.68,23.45,3.78,25.34,0,0,800.76
HARV,2001-09-18,43644.96,425.29,24.01,4.76,26.39,0,0,857.47
HARV,2001-09-19,43467.24,362.94,20.51,6.06,23.540000000000003,0,0,938.46
HARV,2001-09-20,43289.47,184.86,20.21,11.15,25.785,19.69,0,1325.3
HARV,2001-09-21,43111.69,125.43,20.38,14.38,27.57,19.4,0,1637.89
HARV,2001-09-22,42933.93,249.76,23.39,14.07,30.425,0,0,1605.02
HARV,2001-09-23,42756.21,298.17,22.27,10.97,27.755,0,0,1309.64
HARV,2001-09-24,42578.55,292.74,22.2,11.13,27.765,0,0,1323.81
HARV,2001-09-25,42401,190.95,21.42,12.02,27.43,25.25,0,1403.66
HARV,2001-09-26,42223.56,269.25,17.23,7.52,20.99,0,0,1037.72
HARV,2001-09-27,42046.28,335.59,15.27,2.47,16.505,0,0,729.7
HARV,2001-09-28,41869.19,199.8,13.84,4.33,16.005,5.63,0,832.09
HARV,2001-09-29,41692.3,243.64,13.35,4.91,15.805,0,0,866.67
HARV,2001-09-30,41515.65,277.3,12.61,2.89,14.055,0,0,751.51
HARV,2001-10-01,41339.27,308.78,16.53,4.97,19.015,0,0,870.11
HARV,2001-10-02,41163.18,401.25,21.31,1.6,22.11,0,0,685.46
HARV,2001-10-03,40987.43,395.21,23.74,3.65,25.565,0,0,793.24
HARV,2001-10-04,40812.03,372.09,24.79,6.59,28.085,0,0,973.73
HARV,2001-10-05,40637.02,331.33,23.95,9.03,28.465,0,0,1150.09
HARV,2001-10-06,40462.43,239.54,18.07,4.62,20.38,4.95,0,848.97
HARV,2001-10-07,40288.3,260.4,9.67,0.12,9.73,0,0,615.86
HARV,2001-10-08,40114.65,264.69,8.45,-1.2,7.85,0,0,559.29
HARV,2001-10-09,39941.52,379.58,13.95,-4.5,11.7,0,0,437.48
HARV,2001-10-10,39768.95,381.95,19.98,-0.82,19.57,0,0,575.11
HARV,2001-10-11,39596.96,364.83,22.43,2.86,23.86,0,0,750.13
HARV,2001-10-12,39425.6,359.31,23.28,3.71,25.135,0,0,796.44
HARV,2001-10-13,39254.9,244.02,18.12,7.94,22.09,0,0,1068.14
HARV,2001-10-14,39084.89,103.79,14.01,8.63,18.325,8.67,0,1119.3
HARV,2001-10-15,38915.62,185.05,17.55,7.15,21.125,5.83,0,1011.93
HARV,2001-10-16,38747.13,328.04,16.76,0.97,17.245,0,0,655.11
HARV,2001-10-17,38579.44,265.13,11.2,0.32,11.36,0,0,624.88
HARV,2001-10-18,38412.62,273.74,11.88,0.52,12.14,0,0,634.41
HARV,2001-10-19,38246.69,346.24,14.85,-3.45,13.125,0,0,473.49
HARV,2001-10-20,38081.69,319.87,15.43,-0.47,15.195,0,0,590.22
HARV,2001-10-21,37917.68,338.81,20.48,0.36,20.66,0,0,627.04
HARV,2001-10-22,37754.7,293.01,16.51,1.75,17.385,0,0,693.14
HARV,2001-10-23,37592.79,313.22,17.21,-0.09,17.165,0,0,606.52
HARV,2001-10-24,37431.99,304.56,23.87,5.77,26.755000000000003,0,0,920.13
HARV,2001-10-25,37272.36,234.64,21.64,9.55,26.415,0.91,0,1190.65
HARV,2001-10-26,37113.95,202.02,10.83,1.36,11.51,0,0,673.92
HARV,2001-10-27,36956.8,180.5,8.18,-0.07,8.145,0,0,607.74
HARV,2001-10-28,36800.96,204.41,6.92,-2.64,5.6,0,0,502.9
HARV,2001-10-29,36646.49,294.8,10.81,-6.24,7.69,0,0,383.16
HARV,2001-10-30,36493.43,272.69,10.09,-5.1,7.54,0,0,418
HARV,2001-10-31,36341.85,221.89,7.63,-7.2,4.029999999999999,7.3,7.3,356.01
HARV,2001-11-01,36191.79,334.92,17.49,-2.89,16.044999999999998,0,5.99,493.56
HARV,2001-11-02,36043.31,191.36,19.45,6.29,22.595,8.53,0.83,953.74
HARV,2001-11-03,35896.47,180.64,16.64,7.15,20.215,0,0,1011.86
HARV,2001-11-04,35751.32,198.51,9.81,-0.36,9.63,0,0,594.93
HARV,2001-11-05,35607.93,92.43,5.46,-0.43,5.245,3.31,0,591.7
HARV,2001-11-06,35466.34,166.01,7.97,-0.28,7.83,0,0,598.22
HARV,2001-11-07,35326.63,213.55,10.41,-1.06,9.88,0,0,565.09
HARV,2001-11-08,35188.84,199.7,12.49,-4.44,10.27,2.76,0,439.44
HARV,2001-11-09,35053.05,200.35,8.05,-2.4,6.8500000000000005,0,0,512.14
HARV,2001-11-10,34919.3,204.92,7.31,-3.34,5.64,0,0,477.19
HARV,2001-11-11,34787.68,160.63,4.52,-3.23,2.9049999999999994,0,0,481.22
HARV,2001-11-12,34658.23,199.9,3.1,-7.04,-0.41999999999999993,0,0,360.49
HARV,2001-11-13,34531.02,263.67,7.38,-9.67,2.545,0,0,293.56
HARV,2001-11-14,34406.11,212.65,9.91,-7,6.41,2.48,2.48,361.35
HARV,2001-11-15,34283.57,269.44,14.16,-1.61,13.355,0,0.63,542.95
HARV,2001-11-16,34163.46,254.31,17.67,-0.96,17.19,0,0,569.57
